股票,公司亮点,主营业务,收入,净利润,毛利率
中油资本,公司亮点：国内业务规模较大的产业背景综合性金融业务上市公司,主营业务：银行等金融领域产品的生产、销售和研发。,收入：390.24亿元同比增长0.08%+,净利润：46.52亿元同比下降8.14%+,毛利率：22.05%+
小商品城,"公司亮点：义乌国资委旗下,全球最大的小商品集散地,拥有支付牌照","主营业务：从事市场开发经营及配套服务,提供网上交易平台和服务,网上交易",收入：31.61亿元同比增长17.93%+,净利润：8.03亿元同比增长12.66%+,毛利率：36.18%+
南天信息,"公司亮点：中国银行业十大IT解决方案商之一,云南省信息产业龙头,数据云南",主营业务：提供金融行业数字化综合解决方案和服务。,收入：58.17亿元同比增长2.44%+,净利润：0.56亿元同比增长6.43%+,毛利率：12.78%+
新大陆,"公司亮点：金融税控收款机第一品牌,商户物联网龙头企业",主营业务：智能终端集群和行业数字化集群两个板块。,收入：55.73亿元同比下降5.27%+,净利润：8.19亿元同比增长0.07%+,毛利率：38.03%+
焦点科技,"公司亮点：跨境电商基础设施领先企业,为国内出口型中小企业提供电子商务服",主营业务：全链路外贸服务综合平台、外贸AI应用业务、跨境电子商务业务、线,收入：16.69亿元同比增长9.32%+,净利润：4.51亿元同比增长19.09%+,毛利率：80.29%+
京北方,"公司亮点：曾被评为""中国信息技术服务产业科技金融领域示范企业”",主营业务：向以银行为主的金融机构和央国企为主的非金融机构提供信息技术服,收入：34.36亿元同比增长10.05%+,净利润：2.26亿元同比下降9.34%+,毛利率：22.61%+
吉大正元,公司亮点：中国领先的信息安全专业服务提供商,主营业务：从事网络安全产品销售、网络安全技术开发和网络安全生态建设。,收入：2.81亿元同比下降13.02%+,净利润：-0.71亿元同比增长14.32%+,毛利率：56.70%+
东华软件,公司亮点：国内首家同时具有系统集成一级、涉密甲级、CMMI5级等资质的企业,主营业务：专注于行业整体解决方案和信息化服务的布局与提供。,收入：133.23亿元同比增长15.61%+,净利润：5.00亿元同比增长13.98%+,毛利率：20.61%+
广电运通,公司亮点：连续十多年位居国内金融智能终端设备市场占有率第一,主营业务：为全球客户提供具有竞争力的智能终端、运营服务及大数据解决方案,收入：108.66亿元同比增长20.16%+,净利润：9.20亿元同比下降5.84%+,毛利率：31.11%+
